Код	Артикул	Наименование	Полное наименование	Цена роз.	Цена сайт
Ноутбуки					
84326	Corebook Plus R1603-A5	"Ноутбук Chuwi Corebook Plus 16"" FHD Ryzen 5-7430U 16GB 512GB Win 11"	"Ноутбук, Chuwi, Corebook Plus, 16"", FHD, 1920x1200, IPS, Ryzen 5-7430U, 16GB LPDDR4, 512GB SSD, AMD Radeon Graphics, Win 11 Home, Серый"	299990.0	284990.5
84330	Corebook Air Plus 16&quot; R5	"Ноутбук Chuwi Corebook Air Plus 16"" FHD Ryzen 5-6600H 16GB 512GB Win 11"	"Ноутбук, Chuwi, Corebook Air Plus, 16"", FHD, 1920x1200, IPS, Ryzen 5-6600H, 16GB LPDDR5, 512GB SSD, AMD Radeon 660M, Win 11 Pro, Серебро"	319990.0	303990.5
78324	GAMING A16 CWHI3KZ894SD	"Ноутбук Gigabyte Gaming A16 16"" WUXGA 165Hz i7-13620H 16GB 1TB RTX5070 DOS"	"Ноутбук, Gigabyte, Gaming A16 CWHI3KZ894SD, 9RGA6I77WHFHJK0KZ000, 16"", WUXGA 1920x1200, IPS, 165Hz, i7-13620H, 16GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5070, 8GB GDDR7, DOS, Черный"	759990.0	721990.5
88512	3VHK3KZ893SD	Ноутбук Gigabyte Gaming A16 FHD+ 165Hz Ryzen 7 260 16GB 512GB RTX5060 DOS	"Ноутбук, Gigabyte, GAMING A16 3VHK3KZ893SD, 16"", FHD+ 1920x1200, IPS, 165Hz, AMD Ryzen 7 260, 16GB DDR5, 512G SSD M.2 Gen4, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Зеленый"	869990.0	826490.5
86993	3THK3KZ893SD	"Ноутбук Gigabyte GAMING A16 16"" FHD+ 165Hz Ryzen 7 260 16GB 512GB RTX5050 DOS"	"Ноутбук, Gigabyte GAMING A16 3THK3KZ893SD, 9RGA6AB5THKHIK0KZ000, 16"", FHD+ 1920x1200, IPS, 165Hz, Ryzen 7 260, 16GB DDR5, 512GB SSD, NVIDIA GeForce RTX 5050, 8GB GDDR7, DOS, Черный"	739990.0	702990.5
88513	3VHK3KZ894SD	Ноутбук Gigabyte Gaming A16 FHD+ 165Hz Ryzen 7 260 16GB 1TB RTX5060 DOS	"Ноутбук, Gigabyte, GAMING A16 3VHK3KZ894SD, 16"", FHD+ 1920x1200, IPS, 165Hz, AMD Ryzen 7 260, 16GB DDR5, 1TB SSD M.2 Gen4, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Черный"	899990.0	854990.5
86992	3THK3KZ894SD	"Ноутбук Gigabyte GAMING A16 16"" FHD+ 165Hz Ryzen 7 260 16GB 1TB RTX5050 DOS"	"Ноутбук, Gigabyte GAMING A16 3THK3KZ894SD, 9RGA6AB5THKHJK0KZ000, 16"", FHD+ 1920x1200, IPS, 165Hz, Ryzen 7 260, 16GB DDR5, 1TB SSD, NVIDIA GeForce RTX 5050, 8GB GDDR7, DOS, Черный"	824990.0	783740.5
88022	3WHK3KZC94SD	Ноутбук GIGABYTE GAMING A18 WQXGA 165Hz Ryen 7 260 16GB 1TB RTX5070 DOS	"Ноутбук, Gigabyte, GAMING A18 3WHK3KZC94SD, 9RGA8AB7WHKDJK0KZ000, 18"", WQXGA 2560x1600, IPS, 165Hz, Ryen 7 260, 16GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5070, 8GB GDDR7, DOS, Черный"	1119990.0	1063990.5
78704	AERO X16 1VH93KZC94AD	"Ноутбук Gigabyte AERO X16 16"" QHD 165Hz Ryzen AI 7 350 16GB 1TB RTX5060 DOS"	"Ноутбук, Gigabyte, AERO X16 1VH93KZC94AD, 9REG6AB6VH2DJK0KZ000, 16"", WQXGA, 2560x1600, IPS, 165Hz, AMD Ryzen AI 7 350, 16G*1 DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Серый"	799990.0	759990.5
85548	1VH93KZC64AD	"Ноутбук Gigabyte AERO X16 16"" QHD+ 165Hz Ryzen AI 7 350 32GB 1TB NVIDIA GeForce RTX 5060 DOS"	"Ноутбук, Gigabyte AERO X16 1VH93KZC64AD, 9REG6AB6VH2DJH0KZ000, 16"", WQXGA 2560x1600, IPS, 165Hz, Ryzen AI 7 350, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 5060, 8GB GDDR7, DOS, Серый"	949990.0	902490.5
78315	AERO X16 1WH93KZC64DH	"Ноутбук Gigabyte AERO X16 16"" QHD 165Hz Ryzen AI 7 350 32GB 1TB RTX5070 Win11"	"Ноутбук, Gigabyte, AERO X16 1WH93KZC64DH, 9REG6AB7WH1DJHEKZ000, 16"", QHD+, 2560x1600, IPS, 165Hz, AMD Ryzen AI 7 350 (Krachen R7), 32GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5070, 8GB GDDR7, Win 11 Home, Белый"	989990.0	940490.5
85546	1WH93KZC64DH	"Ноутбук Gigabyte AERO X16 16"" QHD+ 165Hz Ryzen AI 7 350 32GB 1TB NVIDIA GeForce RTX 5070 Windows 11"	"Ноутбук, Gigabyte AERO X16 1WH93KZC64DH, 9REG6AB7WH1DJHEKZ000, 16"", QHD+ 2560x1600, IPS, 165Hz, Ryzen AI 7 350, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 5070, 8GB GDDR7, Windows 11, Белый"	1179990.0	1120990.5
76480	AORUS MASTER 16 BYHC5KZE64SP	Ноутбук Gigabyte AORUS Master 16 QHD 240Hz OLED Ultra9-275HX 32GB 1TB RTX5080 Win11	"Ноутбук, Gigabyte, AORUS Master 16 BYHC5KZE64SP,16"", QHD 2560x1600, OLED, 240Hz, Ultra9-275HX, 32GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5080, 16GB GDDR7, Win11Pro, Черный"	1899990.0	1804990.5
88111	S3407CA-LY094	"Ноутбук ASUS Vivobook S14 S3407CA-LY094 14"" FHD+ 60Hz Core Ultra 225H 16GB 512GB DOS"	"Ноутбук, ASUS, Vivobook S14 S3407CA-LY094, 90NB16J1-M00BL0, 14"", FHD+ 1920x1200, IPS, 60Hz, Core Ultra 225H, 16GB DDR5, 512GB SSD M.2, Intel Graphics, DOS, Серебряный"	434990.0	413240.5
85437	M1407GA-LY030	"Ноутбук ASUS Vivobook 14 M1407GA-LY030 14"" FHD+ 60Hz AMD R7 6C 16GB 1TB DOS"	"Ноутбук, ASUS Vivobook 14 M1407GA-LY030, 90NB1702-M001F0, 14"", FHD+ 1920x1200, IPS, 60Hz, AMD Ryzen AI7445, 16GB DDR5, 1TB SSD M.2, AMD Radeon Graphics, DOS, Золотой"	449990.0	427490.5
85444	S3407CA-LY014W	"Ноутбук ASUS Vivobook S14 S3407CA-LY014W 14"" FHD+ 60Hz Core 5 225H 16GB 512GB Win11"	"Ноутбук, ASUS Vivobook S14 S3407CA-LY014W, 90NB16J1-M00640, 14"", FHD+ 1920x1200, IPS, 60Hz, Core Ultra 5 225H, 16GB DDR5, 512GB SSD M.2, Intel Graphics, Windows 11 Home, Серебряный"	529990.0	503490.5
87750	TP3407SA-SG231W	"Ноутбук ASUS Vivobook 14 Flip TP3407SA-SG231W 14"" FHD+ 60Hz Core Ultra 5 226V 16GB 512GB Win 11"	"Ноутбук, ASUS, Vivobook 14 Flip TP3407SA-SG231W, 90NB14Y1-M00JB0, 14"", FHD+ 1920x1200, OLED, 60Hz, Core Ultra 5 226V, 16GB LPDDR5X, 512GB SSD M.2, Intel Arc Graphics, Windows 11 Home, Серый + Стилус"	559990.0	531990.5
88112	M1502NAQ-BQ067	"Ноутбук ASUS Vivobook 15 M1502NAQ-BQ067 15,6"" FHD 60Hz Ryzen 5 150 16GB 512GB DOS"	"Ноутбук, ASUS, Vivobook 15 M1502NAQ-BQ067, 90NB1841-M006C0, 15,6"", FHD 1920x1080, IPS, 60Hz, Ryzen 5 150, 16GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, DOS, Синий"	342990.0	325840.5
88116	M1502NAQ-BQ044W	"Ноутбук ASUS Vivobook 15 M1502NAQ-BQ044W 15,6"" FHD 60Hz Ryzen 5 150 16GB 512GB Win 11"	"Ноутбук, ASUS, Vivobook 15 M1502NAQ-BQ044W, 90NB1841-M00H70, 15,6"", FHD 1920x1080, IPS, 60Hz, Ryzen 5 150, 16GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, Windows 11 Home, Синий"	405990.0	385690.5
85708	M1502NAQ-BQ026W	"Ноутбук ASUS Vivobook 15 M1502NAQ-BQ026W 15,6"" FHD 60Hz Ryzen 7 170 16GB 512GB Win11"	"Ноутбук, ASUS Vivobook 15 M1502NAQ-BQ026W, 90NB1841-M00CU0, 15,6"", FHD 1920x1080, IPS, 60Hz, Ryzen 7 170, 16GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, Windows 11 Home, Синий"	459990.0	436990.5
88113	X1607CA-MB121	"Ноутбук ASUS Vivobook 16 X1607CA-MB121 16"" FHD+ 60Hz Core Ultra 7 255H 16GB 512GB DOS"	"Ноутбук, ASUS, Vivobook 16 X1607CA-MB121, 90NB15A2-M00KJ0, 16"", FHD+ 1920x1200, IPS, 60Hz, Core Ultra 7 255H, 16GB DDR5, 512GB SSD M.2, Intel Graphics, DOS, Серебряный"	427990.0	406590.5
87754	TP3607SA-SI103W	"Ноутбук ASUS Vivobook 16 Flip TP3607SA-SI103W 16"" FHD+ 60Hz Core Ultra 5 226V 16GB 512GB Win 11"	"Ноутбук, ASUS, Vivobook 16 Flip TP3607SA-SI103W, 90NB1511-M009W0, 16"", FHD+ 1920x1200, OLED, 60Hz, Core Ultra 5 226V, 16GB LPDDR5X, 512GB SSD M.2, Intel Arc Graphics, Windows 11 Home, Серый"	586990.0	557640.5
