Код	Артикул	Наименование	Полное наименование	Цена дил.	Цена уцен.	Процент	Причина	Остаток	Заказ
Мобильные телефоны									
86141y	CN5	Мобильный телефон TECNO CAMON 50 (CN5) 256+8 GB Malachite Green	"Мобильный телефон, TECNO, CAMON 50 (CN5) 256+8 GB, 6.78"" AMOLED, Аккумулятор 6500 мАч, 50MPx+8MPx/32MPx, MediaTek Helio G200 Ultimate, 18W, (Malachite Green) Зелёный"	165402.0	148862.0	10%	замятие упаковки	2.0	
67421y	2405CPX3DG	Мобильный телефон Xiaomi MIX Flip 12GB RAM 512GB ROM Black	"Мобильный телефон, Xiaomi, MIX Flip 12GB 512GB, 6.86"" AMOLED, 2912*1224, Аккумулятор 4780 мАч, 50MPx+50MPx/32MPx, Snapdragon 8 Gen 3, Fast Charge 67W, (Black) Чёрный"	466400.0	290000.0	38%	 Царапины на защитной пленке экрана. Потертости, загрязнения на устройстве. Дата активации 2024-11-20.	1.0	
64478y	5109BGLV	Смартфон HONOR X6b JDY-LX1 6GB RAM 256GB ROM Forest Green	"Смартфон, HONOR, X6b JDY-LX1, 6GB 256GB, 6.56"", Android 14, MediaTek Helio G85, Камера 50 Мп+2 Мп, 1612x720, Bluetooth 5.1, 5200 мАч, (Forest Green) Зелёный"	70542.0	0.0			1.0	
Портативные зарядные устройства									
67919y	WPB0620MI	Портативный внешний аккумулятор Xiaomi Magnetic Power Bank 6000mAh	Портативный внешний аккумулятор, Xiaomi, Magnetic Power Bank 6000mAh, WPB0620MI/BHR9074GL, 15W, Вход USB-C (IN) 5V3A 9V2.22A, Выход USB-C (OUT) 5V2.4A 9V2A MAX, Номинальная мощность 23.22Wh 3.87V 6000mAh, Вход и выход USB-C, Размер продукта 104.8 x 68 x 15.1 мм, Кабель USB-C в комплекте, Для Apple IPhone 12 и выше, Бежевый	16828.0	14500.0	14%	"Потеря товарного вида
Повреждение упаковки"	2.0	
Защитные стёкла и плёнки									
39378y	DD010	Защитное стекло DD10 для Xiaomi POCO M3 Pro 9D Full	Защитное стекло, DD10, для Xiaomi, POCO M3 Pro, 9D, Full	300.0	280.0	7%	Вскрытый товар, повреждена упаковка.	1.0	
56185y	410-01Y	Противоударная HD пленка Rock Space 410-01Y	Противоударная HD пленка, Rock Space, 410-01Y (6941402762735), Толщина 0.14 мм, Прозрачная, Самовосстановление, В упаковке 3 шт, Размер XL (до 16 дюймов)	7486.0	3600.0	52%	1 - Упаковка вскрыта.	1.0	
56191y	180MS-01Y	Игровая матовая пленка Rock Space 180MS-01Y	Игровая матовая пленка, Rock Space, 180MS-01Y (6941402767730), Толщина 0.14 мм, Матовая, Самовосстановление, В упаковке 20 шт, Размер S (до 7 дюймов)	8768.0	1000.0	89%	Замятие упаковки	1.0	
56193y	180L-01Y	Пленка с защитой от синего света Rock Space 180L-01Y	Пленка с защитой от синего света, Rock Space, 180L-01Y (6941402736651), Толщина 0.14 мм, Прозрачная, Самовосстановление, В упаковке 20 шт, Размер S (до 7 дюймов)	8768.0	2800.0	68%	Вскрыта упаковка, комплект не полный - 19 шт	1.0	
56201y	180F-01Y	Матовая пленка для защиты информации на экране Rock Space 180F-01Y	Матовая пленка для защиты информации на экране, Rock Space, 180F-01Y (6941402754020), Толщина 0.188 мм, Матовая, Самовосстановление, В упаковке 10 шт, Размер S (до 7 дюймов)	10358.0	3000.0	71%	Вскрыта упаковка, комплект не полный - 8 шт	1.0	
56181y	195-01Y	Противоударная HD пленка Rock Space 195-01Y	Противоударная HD пленка, Rock Space, 195-01Y (6941402737269), Толщина 0.14 мм, Прозрачная, Самовосстановление, В упаковке 20 шт, Размер M (до 9 дюймов)	10355.0	3000.0	71%	Замятие упаковки	1.0	
56186y	195MS-01Y	Игровая матовая пленка Rock Space 195MS-01Y	Игровая матовая пленка, Rock Space, 195MS-01Y (6941402767747), Толщина 0.14 мм, Матовая, Самовосстановление, В упаковке 20 шт, Размер M (до 9 дюймов)	10358.0	5000.0	52%	Вскрыта упаковка, комплект не полный - 19 шт	1.0	
56183y	290-01Y	Противоударная HD пленка Rock Space 290-01Y	Противоударная HD пленка, Rock Space, 290-01Y (6941402738150), Толщина 0.14 мм, Прозрачная, Самовосстановление, В упаковке 10 шт, Размер L (до 11 дюймов)	11725.0	2500.0	79%	Без упаковки, 27 шт в пакете	1.0	
56180y	180-01Y	Противоударная HD пленка Rock Space 180-01Y	Противоударная HD пленка, Rock Space, 180-01Y (6941402708733), Толщина 0.14 мм, Прозрачная, Самовосстановление, В упаковке 50 шт, Размер S (до 7 дюймов)	21311.0	3000.0	86%	Вскрыта упаковка, комплект не полный - 33 шт	1.0	
Чехлы									
54331y	XG-HS175	Чехол для телефона XG XG-HS175 для Redmi note 12 Pro + Силиконовый Чёрный	Чехол для телефона, XG, XG-HS175, для Redmi note 12 Pro +, Силиконовый, Чёрный, Пол. пакет	390.0	300.0	23%	Небольшое повреждение и замятие упаковки, во внутренней части стерто покрытие, небольшие потертости	1.0	
59286y	XG-HS184	Чехол для телефона XG XG-HS184 для Redmi 13C/POCO C65 ТПУ Светло-белый	Чехол для телефона, XG, XG-HS184, для Redmi 13C/POCO C65, ТПУ, Светло-белый, Пол. пакет	606.0	500.0	17%	Повреждена и вскрыта упаковка, товар с витрины.	1.0	
59290y	XG-HS186	Чехол для телефона XG XG-HS186 для Redmi 13C/POCO C65 ТПУ Розовый	Чехол для телефона, XG, XG-HS186, для Redmi 13C/POCO C65, ТПУ, Розовый, Пол. пакет	606.0	500.0	17%	Повреждена и вскрыта упаковка, товар с витрины.	2.0	
59291y	XG-HS187	Чехол для телефона XG XG-HS187 для Redmi 13C/POCO C65 ТПУ Зеленый	Чехол для телефона, XG, XG-HS187, для Redmi 13C/POCO C65, ТПУ, Зеленый, Пол. пакет	606.0	100.0	83%	Повреждена и вскрыта упаковка, товар с витрины	1.0	
59292y	XG-HS188	Чехол для телефона XG XG-HS188 для Redmi 13C/POCO C65 ТПУ Фиолетовый	Чехол для телефона, XG, XG-HS188, для Redmi 13C/POCO C65, ТПУ, Фиолетовый, Пол. пакет	606.0	100.0	83%	Повреждена и вскрыта упаковка, товар с витрины	1.0	
40313y	XS-HS13	Чехол для телефона X-Game XG-HS13 для Redmi 10 Силиконовый Белый	Чехол для телефона, X-Game, XG-HS13, для Redmi 10, Силиконовый, Белый, Пол. пакет	620.0	300.0	52%	вскрыта упаковка 	1.0	
40318y	XS-HS33	Чехол для телефона XG XG-HS33 для Redmi Note 10 Pro Силиконовый Белый	Чехол для телефона, XG, XG-HS33, для Redmi Note 10 Pro, Силиконовый, Белый, Пол. пакет	700.0	500.0	29%	Повреждение упаковки	1.0	
49521y	TCS-01	Чехол для телефона NILLKIN для Xiaomi 12T Pro TCS-01 Textured Case S Чёрный	Чехол для телефона, NILLKIN, TCS-01, для Xiaomi 12T Pro, Textured Case S, Чёрный	3590.0	500.0	86%	Повреждена и вскрыта упаковка, товар с витрины.	3.0	
49525y	TCS-01	Чехол для телефона NILLKIN для Xiaomi 13 TCS-02 Textured Case S Чёрный	Чехол для телефона, NILLKIN, TCS-02, для Xiaomi 13, Textured Case S, Чёрный	5690.0	300.0	95%	Вскрыта коробка, с витрины	2.0	
49622y	CLCS-01	Чехол для телефона NILLKIN для Xiaomi 12T Pro CLCS-01 CamShield Leather Case S Чёрный	Чехол для телефона, NILLKIN, CLCS-01, для Xiaomi 12T Pro, CamShield Leather Case S, Чёрный	5890.0	3400.0	42%	Повреждена и вскрыта упаковка, товар с витрины.	1.0	
49694y	CSP-02	Чехол для телефона NILLKIN для Xiaomi 13 CSP-02 CamShield Pro Case Чёрный	Чехол для телефона, NILLKIN, CSP-02, для Xiaomi 13, CamShield Pro Case, Чёрный	5290.0	110.0	98%	помята упаковка 	1.0	
49697y	CSP-03	Чехол для телефона NILLKIN для Xiaomi 13 Pro CSP-03 CamShield Pro Case Чёрный	Чехол для телефона, NILLKIN, CSP-03, для Xiaomi 13 Pro, CamShield Pro Case, Чёрный	5290.0	300.0	94%	Повреждена и вскрыта упаковка, товар с витрины.	1.0	
44174y	SFS-03	Чехол для телефона NILLKIN для Xiaomi 12 Pro SFS-03 Super Frosted Shield Синий	Чехол для телефона, NILLKIN, для Xiaomi 12 Pro, SFS-03, Super Frosted Shield, Синий	4100.0	3390.0	17%	Повреждена и вскрыта упаковка, товар с витрины.	1.0	
44177y	TC-02	Чехол для телефона NILLKIN для Xiaomi 12 Pro TC-02 Textured Case Чёрный	Чехол для телефона, NILLKIN, для Xiaomi 12 Pro, TC-02, Textured Case, Чёрный	3300.0	2500.0	24%	Вскрыта коробка, с витрины	2.0	
44179y	CSP-02	Чехол для телефона NILLKIN для Xiaomi 12/12X CSP-02 CamShield Pro Чёрный	Чехол для телефона, NILLKIN, для Xiaomi 12/12X, CSP-02, CamShield Pro, Чёрный	5500.0	2350.0	57%	Вскрыта коробка, с витрины	2.0	
44180y	QLC-01	Чехол для телефона NILLKIN для Xiaomi 12/12X QLC-01 Qin Leather Case Чёрный	Чехол для телефона, NILLKIN, для Xiaomi 12/12X, QLC-01, Qin Leather Case, Чёрный	5500.0	3000.0	45%	Повреждена и вскрыта упаковка, товар с витрины.	2.0	
Планшеты 									
64468y	ELN-L09	Планшет HONOR Pad X9 ELN-L09 LTE 4GB RAM 128GB ROM Space Gray	"Планшет, HONOR, Pad X9 ELN-L09, LTE, 11,5"", IPS, 2000х1200, Qualcomm Snapdragon 685, 4GB, 7250 mAh, 128GB, 5MPx/5MPx, 22.5W, (Space Gray) Серый"	108000.0	92700.0	14%	вскрыт, есть потертости	1.0	
Смарт часы									
67369y	M2351W1	Смарт часы Redmi Watch 5 Active Midnight Black	"Смарт часы, Xiaomi, Redmi Watch 5 Active, M2351W1 / BHR8784GL, Дисплей 2"" LCD, Разрешение 320 x 385, Водонепроницаемые (5 АТМ), Батарея 289 мАч, Вес 37 гр, Черный"	14021.0	5832.0	58%	Повреждение упаковки. Потёртости, Потеря емкости АКБ.	1.0	
67370y	M2351W1	Смарт часы Redmi Watch 5 Active Matte Silver	"Смарт часы, Xiaomi, Redmi Watch 5 Active, M2351W1 / BHR8790GL, Дисплей 2"" LCD, Разрешение 320 x 385, Водонепроницаемые (5 АТМ), Батарея 289 мАч, Вес 37 гр, Серебристый"	14021.0	5826.0	58%	Повреждение упаковки. Потёртости, Потеря емкости АКБ.	1.0	
67371y	M2352W1	Смарт часы Redmi Watch 5 Lite Black	"Смарт часы, Xiaomi, Redmi Watch 5 Lite, M2352W1 / BHR8789GL, Дисплей 1.96"" AMOLED, Разрешение 410 x 502, Водонепроницаемые (5 АТМ), Батарея 289 мАч, Вес 37 гр, Черный"	22142.0	19885.0	10%	"Потеря товарного вида — потертости.
2 шт мятые"	3.0	
58885y	M2315W1	Смарт часы Redmi Watch 4 Obsidian Black	"Смарт часы, Xiaomi, Redmi Watch 4, M2315W1 / BHR7854GL, Дисплей 1.97"" AMOLED, Разрешение 390 x 450, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, QZSS, Батарея 470 мАч, Чёрный"	34438.0	32584.0	5%	Вскрыта упаковка, слабые потертости, небольшая потеря емкости аккумулятора.	1.0	
74144y	M2425W1	Смарт часы Xiaomi Watch S4 Black	"Смарт часы, Xiaomi, Watch S4, M2425W1 / BHR9195GL, Дисплей 1.43"" AMOLED, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, QZSS, Батарея 486 мАч, Черный"	70180.0	57618.0	18%	вскрыта упаковка, потеря товарного вида	1.0	
74154y	M2425W1	Смарт часы Xiaomi Watch S4 Rainbow	"Смарт часы, Xiaomi, Watch S4, M2425W1 / BHR9199GL, Дисплей 1.43"" AMOLED, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, QZSS, Батарея 486 мАч, Радужный"	76189.0	61508.0	19%	Потеря товарного вида	1.0	
59677y	M2320W1	Смарт часы Xiaomi Watch 2 Black Case With Black TPU Strap	"Смарт часы, Xiaomi, Watch 2, M2320W1 / BHR8035GL, Дисплей 1.43"" AMOLED, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, QZSS, Батарея 495 мАч, Совместимость только с Android, Чёрный"	65091.0	63408.0	3%	Потеря товарного вида	1.0	
43063y	M2131W1	Смарт часы Poco Watch Blue	"Смарт часы, Xiaomi, Poco Watch, M2131W1, Дисплей 1.6"" AMOLED, Разрешение 320 x 360, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, Батарея 225 мАч, Вес 31 гр, Синий"	24990.0	13634.0	45%	Вскрытая упаковка. Следы эксплуатации. Потеря ёмкости АКБ	8.0	
43061y	M2131W1	Смарт часы Poco Watch Ivory	"Смарт часы, Xiaomi, Poco Watch, M2131W1, Дисплей 1.6"" AMOLED, Разрешение 320 x 360, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, Батарея 225 мАч, Вес 31 гр, Бежевый"	20990.0	13619.0	35%	Небольшие потертости.	5.0	
86164y	TSP-W03A	Смарт часы TECNO Watch 3 Active TSP-W03A Black	"Смарт часы, TECNO, Watch 3 Active, TSP-W03A, Дисплей 1.39"" цветной IPS-экран, Разрешение 240 x 240, Водонепроницаемые (IP68), Вес 44 гр, (Black) Черный"	12792.0	8500.0	34%	1 - Вскрыта упаковка. Потёртости и царапины.	1.0	
63217y	55020CEE	Смарт часы Huawei Watch Fit 3 SLO-B09 Black Fluoroelastomer Strap	"Смарт часы, Huawei, Watch Fit 3 SLO-B09, Дисплей 1,82"" цветной AMOLED-экран, Разрешение 480 x 480, Водонепроницаемые (5 АТМ), (Black Fluoroelastomer Strap) Чёрный"	49990.0	26275.0	47%	Вскрыта упаковка, слабые потертости.	7.0	
63220y	55020CGD	Смарт часы Huawei Watch Fit 3 SLO-B09 Green Fluoroelastomer Strap	"Смарт часы, Huawei, Watch Fit 3 SLO-B09, Дисплей 1,82"" цветной AMOLED-экран, Разрешение 480 x 480, Водонепроницаемые (5 АТМ), (Green Fluoroelastomer Strap) Зелёный"	49990.0	26275.0	47%	Вскрыта и повреждена упаковка, слабые потертости.	2.0	
63152y	55020CDU	Смарт часы Huawei Watch Fit 3 SLO-B19 Gray Nylon Strap	"Смарт часы, Huawei, Watch Fit 3 SLO-B19, Дисплей 1,82"" цветной AMOLED-экран, Разрешение 480 x 480, Водонепроницаемые (5 АТМ), (Gray Nylon Strap) Серые"	49990.0	31055.0	38%	Вскрыта коробка Не большие царапины на экране, Следы попадания влаги на коробке	26.0	
