URL	Артикул	Описание	KZ РРЦ	Цена Сайт 	Status
https://ipmatika.kz/products/2-wire-shlyuzy/	2-Wire коммутаторы				
https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn1/	PN1	PN1, SIP-шлюз для подключения IP-телефонов по двухжильному проводу	94310.0	87708.3	
https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn24/	PN24	PN24, SIP-шлюз для подключения IP-телефонов по двухжильному проводу	183960.0	171082.80000000002	
https://ipmatika.kz/products/2-wire-shlyuzy/fanvil-pn8/	PN8	PN8, SIP-шлюз для подключения IP-телефонов по двухжильному проводу	98110.0	91242.3	
https://ipmatika.kz/products/roip-shlyuzy/	RoIP-шлюзы			0.0	
https://ipmatika.kz/products/roip-shlyuzy/W712/	LW712	RoIP-шлюз Linkvil W712	319940.0	297544.2	
https://ipmatika.kz/products/voip-fxs-fxo/	VoIP-шлюзы FXS/FXO			0.0	
https://ipmatika.kz/products/voip-fxs-fxo/GA10/	GA10	VoIP-шлюз Fanvil GA10, 1*FXS		0.0	
https://ipmatika.kz/products/sip-opoveshchenie/	SIP-колонки Fanvil			0.0	
https://ipmatika.kz/products/sip-opoveshchenie/Fanvil-A201/	A201	Fanvil A201, SIP-громкоговоритель, PoE, встраиваемый	88240.0	82063.2	
https://ipmatika.kz/products/sip-opoveshchenie/Fanvil-A212/	A212W	Fanvil A212, SIP-громкоговоритель, PoE, настенный, белый	110310.0	102588.3	
https://ipmatika.kz/products/sip-opoveshchenie/Fanvil-A212/	A212B	Fanvil A212, SIP-громкоговоритель, PoE, настенный, черный	110310.0	102588.3	
https://ipmatika.kz/products/sip-opoveshchenie/Fanvil-A233/	A233	Fanvil A233, SIP-громкоговоритель, PoE, рупорный, уличный	155730.0	144828.9	
https://ipmatika.kz/products/sip-opoveshchenie/Fanvil-FH-S01/	FH-S01	Fanvil FH-S01, SIP-громкоговоритель, PoE, встраиваемый	142750.0	132757.5	
https://ipmatika.kz/products/wifi-telefony/	Wi-Fi-телефоны				
https://ipmatika.kz/products/wifi-telefony/Linkvil-W610W/	FLW610W	(Linkvil) W610W, цветной экран, б/п, Wi-Fi 2,4G/5G	61660.0	57343.8	
