Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100	Unnamed: 101	Unnamed: 102	Unnamed: 103	Unnamed: 104	Unnamed: 105	Unnamed: 106	Unnamed: 107	Unnamed: 108	Unnamed: 109	Unnamed: 110	Unnamed: 111	Unnamed: 112	Unnamed: 113	Unnamed: 114	Unnamed: 115	Unnamed: 116	Unnamed: 117	Unnamed: 118	Unnamed: 119	Unnamed: 120	Unnamed: 121	Unnamed: 122	Unnamed: 123	Unnamed: 124	Unnamed: 125	Unnamed: 126	Unnamed: 127	Unnamed: 128	Unnamed: 129	Unnamed: 130	Unnamed: 131	Unnamed: 132	Unnamed: 133	Unnamed: 134	Unnamed: 135	Unnamed: 136	Unnamed: 137	Unnamed: 138	Unnamed: 139	Unnamed: 140	Unnamed: 141	Unnamed: 142	Unnamed: 143	Unnamed: 144	Unnamed: 145	Unnamed: 146	Unnamed: 147	Unnamed: 148	Unnamed: 149	Unnamed: 150	Unnamed: 151	Unnamed: 152	Unnamed: 153	Unnamed: 154	Unnamed: 155	Unnamed: 156	Unnamed: 157	Unnamed: 158	Unnamed: 159	Unnamed: 160	Unnamed: 161	Unnamed: 162	Unnamed: 163	Unnamed: 164	Unnamed: 165	Unnamed: 166	Unnamed: 167	Unnamed: 168	Unnamed: 169	Unnamed: 170	Unnamed: 171	Unnamed: 172	Unnamed: 173	Unnamed: 174	Unnamed: 175	Unnamed: 176	Unnamed: 177	Unnamed: 178	Unnamed: 179	Unnamed: 180	Unnamed: 181	Unnamed: 182	Unnamed: 183	Unnamed: 184	Unnamed: 185	Unnamed: 186	Unnamed: 187	Unnamed: 188	Unnamed: 189	Unnamed: 190	Unnamed: 191	Unnamed: 192	Unnamed: 193	Unnamed: 194	Unnamed: 195	Unnamed: 196	Unnamed: 197	Unnamed: 198	Unnamed: 199	Unnamed: 200	Unnamed: 201
Артикул	Краткое описание	РРЦ	Сайт Цена																																																																																																																																																																																																						
P - Серия																																																																																																																																																																																																									
P520	"IP-АТС до 20 абонентов и до 10 одновременных вызовов
позволяет подключать аналоговые линии/телефоны, линии BRI и GSM-линию посредством дополнительных модулей, поддерживает протоколы MFC R2, SS7,  FXO, FXS, GSM, BRI, WCDMA(3G), LTE(4G)"	314050	292066.5																																																																																																																																																																																																						
P550	"IP-АТС до 50 абонентов и до 25 одновременных вызовов
позволяет подключать аналоговые линии/телефоны, линии BRI и GSM-линию посредством дополнительных модулей, поддерживает протоколы MFC R2, SS7,  FXO, FXS, GSM, BRI, WCDMA(3G), LTE(4G)"	615450	572368.5																																																																																																																																																																																																						
P560	"IP-АТС на 100 абонентов и 30 одновременных вызовов
позволяет подключать аналоговые линии/телефоны, линии BRI и GSM-линию посредством дополнительных модулей, поддерживает протоколы MFC R2, SS7,  FXO, FXS, GSM, BRI, WCDMA(3G), LTE(4G)"	813450	756508.5																																																																																																																																																																																																						
P570	"IP-АТС на 300 абонентов и 60 одновременных вызовов
позволяет подключать аналоговые линии/телефоны, линии BRI/PRI и GSM-линии посредством дополнительных модулей, поддерживает протоколы MFC R2, SS7,  FXO, FXS, GSM, BRI, PRI, WCDMA(3G), LTE(4G), с помощью модуля D30 расширяется до 200 пользователей и 60 одновременных вызовов"	1658800	1542684																																																																																																																																																																																																						
S - Серия																																																																																																																																																																																																									
S20	"IP-АТС до 20 абонентов и до 10 одновременных вызовов
позволяет подключать аналоговые линии/телефоны, линии BRI и GSM-линию посредством дополнительных модулей, поддерживает протоколы MFC R2, SS7,  FXO, FXS, GSM, BRI, WCDMA(3G), LTE(4G)"	276100	256773																																																																																																																																																																																																						
S50	"IP-АТС на 50 абонентов и 25 одновременных вызовов
позволяет подключать аналоговые линии/телефоны, линии BRI и GSM-линию посредством дополнительных модулей, поддерживает протоколы MFC R2, SS7,  FXO, FXS, GSM, BRI, WCDMA(3G), LTE(4G)"	520850	484390.5																																																																																																																																																																																																						
S100	"IP-АТС на 100 абонентов и 30 одновременных вызовов
позволяет подключать аналоговые линии/телефоны, линии BRI и GSM-линию посредством дополнительных модулей, поддерживает протоколы MFC R2, SS7,  FXO, FXS, GSM, BRI, WCDMA(3G), LTE(4G)"	691820	643392.6																																																																																																																																																																																																						
Модули для АТС																																																																																																																																																																																																									
EX08	"Плата расширения для телефонных станций Yeastar S-серии (S-100 и S-300)
На плату может быть установлено до 4-х модулей S2, O2, SO, BRI, GSM, WCDMA и LTE. "	56100	52173																																																																																																																																																																																																						
EX30	"Плата расширения для телефонных станций Yeastar S-серии (S-100 и S-300)
Поддерживает подключение одного интерфейса E1/T1"	486200	452166																																																																																																																																																																																																						
D30 Card	"DSP-модуль для телефонных станций Yeastar S-серии (S100 /S300)
один модуль добавляет возможности расширения до 100 пользователей и 30 одновременных вызовов. "	163350	151915.5																																																																																																																																																																																																						
O2	"Модуль для подключения 2-х FXO телефонных линий
Предназначен для работы со всеми IP-АТС Yeastar."	64900	60357																																																																																																																																																																																																						
S2	"Модуль для подключения 2-х FXS телефонных линий
Предназначен для работы со всеми IP-АТС Yeastar."	57750	53707.5																																																																																																																																																																																																						
SO	"Модуль для подключения одной FXS и одной FXO линии
Переключается в режим «Моста» при неработоспособности системы, соединяя напрямую аналоговый телефон с внешней телефонной линией.
Предназначен для работы со всеми IP-АТС Yeastar."	67100	62403																																																																																																																																																																																																						
GSM	"Модуль для подключения одного GSM-канала (GSM 850/900/1800/1900МГц ). 
Предназначен для работы со всеми IP-АТС Yeastar."	95150	88489.5																																																																																																																																																																																																						
UMTS	"Модуль для подключения одного UMTS-канала (UMTS 900/2100МГц или 850/2100МГц или 850/1900МГц). 
Предназначен для работы со всеми IP-АТС Yeastar."	154050	143266.5																																																																																																																																																																																																						
LTE	Модуль для подключения одной LTE линии, позволяет передавать VoIP-данные через сети 4G для подключения к VoIP-операторам по протоколу SIP	219450	204088.5																																																																																																																																																																																																						
B2	"Модуль для подключения двух линий BRI
предназначен для работы со всеми IP-АТС Yeastar "	110200	102486																																																																																																																																																																																																						
GSM - шлюзы																																																																																																																																																																																																									
TG100	VoIP-GSM-шлюз с поддержкой 1 GSM-линии 850/900/1800/1900 МГц	87050	80956.5																																																																																																																																																																																																						
TG200	VoIP-GSM-шлюз с поддержкой 2 GSM-линий 850/900/1800/1900 МГц	174710	162480.30000000002																																																																																																																																																																																																						
