Артикул	Номенклатура.Производитель (бренд)	Номенклатура на 6 января 2026 г.	KZ РРЦ	KZ Дилер	%	ALM а 23 февраля 2026 г.	AlmRes	AlmAway	Ast	AstRes	AstAway	Alm2	Msk ст на 26 мая 2025 г.	MskRes	MskAway	Pic	URL	Status	Unnamed: 19	Unnamed: 20	Unnamed: 21	KZ РРЦ.1	KZ Дилер.1	%.1	0	AlmRes.1	AlmAway.1	Ast.1	AstRes.1	AstAway.1	Alm2.1	Msk ст на 26 мая 2025 г..1	MskRes.1	MskAway.1	Pic.1	URL.1	Status.1	Unnamed: 38	Unnamed: 39
3cx																																							
dect																																							
			85.0	65.0		ALM а 23 февраля 2026 г.	0	0	0.0	0.0	0.0	0	11	10	12	0		66				0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0		
	STSS	Контроллер RAID LSI MegaRAID SAS 9341-4i 4-internal channel SAS/SATA PCI-E x8 и кабель HD SAS	85.0	65.0		ALM а 23 февраля 2026 г.	0	0	0.0	0.0	0.0	0	11	10	12	0		66				0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0		
S100	Yeastar	S100, 100 (до 200) абонентов и 30 (до 60) вызовов, поддержка FXO, FXS, GSM, BRI	691820.0	520920.0	-24.70295741666908	3	0	0	1.0	0.0	0.0	0	0	0	0		https://www.ipmatika.kz/products/ip-ats-yeastar-serii-s-sredney-yemkosti/yeastar-s100/	EOL				691820.0	520920.0	-24.70295741666908	3	0	0	1.0	0.0	0.0	0	0	0	0		https://www.ipmatika.kz/products/ip-ats-yeastar-serii-s-sredney-yemkosti/yeastar-s100/	EOL		
EHS36 sale	Yealink	EHS36 адаптер для беспроводных гарнитур для телефонов T4S/T40G(P)/T29G/T27G	53210.0	15290.0	-71.26479984965232	1	0	0	0.0	0.0	0.0	0	0	0	0							53210.0	15290.0	-71.26479984965232	1	0	0	0.0	0.0	0.0	0	0	0	0					
RT10 sale	Yealink	RT10 DECT-репитер для SIP-телефона W52P	75510.0	65280.0	-13.54787445371474	1	0	0	0.0	0.0	0.0	0	0	0	0							75510.0	65280.0	-13.54787445371474	1	0	0	0.0	0.0	0.0	0	0	0	0					
WF50 sale	Yealink	WF50 USB WiFi-адаптер для SIP-T27G/T41S/T42S/T43U/T46U(S)/T48U(S)/T53	29990.0	13060.0	-56.452150716905635	1	0	0	0.0	0.0	0.0	0	0	0	0							29990.0	13060.0	-56.452150716905635	1	0	0	0.0	0.0	0.0	0	0	0	0					
SIP-T42G sale	Yealink	SIP-T42G,3 аккаунта,BLF,PoE, GigE, без БП	63420.0	54060.0	-14.758751182592249	1	0	0	0.0	0.0	0.0	0	0	0	0							63420.0	54060.0	-14.758751182592249	1	0	0	0.0	0.0	0.0	0	0	0	0					
FH3PB sale	Fanvil	H3 отельный, 2 аккаунта, без экрана, PoE, б/п				1	0	0	0.0	0.0	0.0	0	0	0	0										1	0	0	0.0	0.0	0.0	0	0	0	0					
FH5PB sale	Fanvil	H5 отельный, 2 аккаунта, цветной ЖК экран, PoE, б/п				1	0	0	0.0	0.0	0.0	0	0	0	0										1	0	0	0.0	0.0	0.0	0	0	0	0					
VCC22	Yealink	VCC22 (Видеокамера FHD 12Х PTZ для VC800/880, AMS 2 года)	658000.0	501630.0	-23.76443768996961	2	0	0	0.0	0.0	0.0	0	1	0	0		https://ipmatika.kz/products/vcs-accessories/yealink-vcc22/	EOL				658000.0	501630.0	-23.76443768996961	2	0	0	0.0	0.0	0.0	0	1	0	0		https://ipmatika.kz/products/vcs-accessories/yealink-vcc22/	EOL		
VT1000-D RJ9(03) old	VT	VT1000 RJ9(03), Моно, Узкополосный звук, SE, усовершенствованный микрофон				0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
VT1000 USB old	VT	VT1000 USB, Моно, Узкополосный звук, SE, усовершенствованный	11440.0	9480.0	-17.132867132867133	0	0	0	0.0	0.0	0.0	0	0	0	0							11440.0	9480.0	-17.132867132867133	0	0	0	0.0	0.0	0.0	0	0	0	0					
VT6200-D QD(P)-RJ9(03)	VT	VT6200-D QD(P)-RJ9(03), Дуо, HD звук, QD, переходник QD-RJ09(03)	22370.0	16470.0	-26.374608851139925	24	0	0	5.0	0.0	0.0	0	50+	0	50+	http://ipmatika.ru/upload/iblock/0b2/bo7u1f0lk4swaqeijiuvo2jnumi82s0t/VT6200D_USB_04.jpg	https://ipmatika.kz/products/provodnye/VT-VT6200-D-QD%28P%29-RJ9%2803%29/					22370.0	16470.0	-26.374608851139925	24	0	0	5.0	0.0	0.0	0	50+	0	50+	http://ipmatika.ru/upload/iblock/0b2/bo7u1f0lk4swaqeijiuvo2jnumi82s0t/VT6200D_USB_04.jpg	https://ipmatika.kz/products/provodnye/VT-VT6200-D-QD%28P%29-RJ9%2803%29/			
VT6300-D USB	VT	VT6300-D USB, Дуо, HD звук, микрофон с шумоподавлением	26850.0	18860.0	-29.75791433891993	50+	0	0	10.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/ed7/2si7d12nzmk00joxthvb75cm48w0eig3/6300D_USB_01.jpg	https://ipmatika.kz/products/provodnye/VT6300-D/					26850.0	18860.0	-29.75791433891993	50+	0	0	10.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/ed7/2si7d12nzmk00joxthvb75cm48w0eig3/6300D_USB_01.jpg	https://ipmatika.kz/products/provodnye/VT6300-D/			
i20S	Fanvil	Fanvil i20S IP-домофон, накладной, внешний, IP65, клавиатура				2	0	0	0.0	0.0	0.0	0	0	0	0										2	0	0	0.0	0.0	0.0	0	0	0	0					
i52W	Fanvil	Fanvil i52W, WiFi, без БП, ответная часть для SIP-домофона	22250.0	17800.0	-20.0	1	0	0	0.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/eff/pa8woC_ZiXo.jpg	https://ipmatika.kz/products/vnutrennie-sip-paneli/Fanvil-i52W/	EOL				22250.0	17800.0	-20.0	1	0	0	0.0	0.0	0.0	0	0	0	0	http://ipmatika.ru/upload/iblock/eff/pa8woC_ZiXo.jpg	https://ipmatika.kz/products/vnutrennie-sip-paneli/Fanvil-i52W/	EOL		
WI-CPE513P-KIT v3	Wi-Tek	WI-CPE513P-KIT комплект из двух преднастроенных точек доступа 802.11a/n, 5ГГц, 2 LAN, PoE, Cloud	91530.0	73226.45	-19.997323281984052	0	0	0	0.0	0.0	0.0	0	0	0	50+	http://ipmatika.ru/upload/iblock/499/d2022061515203235.png	https://ipmatika.kz/products/wifi-mosty/wi-tek-wi-cpe513p-kit-v3/					91530.0	73226.45	-19.997323281984052	0	0	0	0.0	0.0	0.0	0	0	0	50+	http://ipmatika.ru/upload/iblock/499/d2022061515203235.png	https://ipmatika.kz/products/wifi-mosty/wi-tek-wi-cpe513p-kit-v3/			
WI-AP510	Wi-Tek	WI-AP510 AC1200 Внешняя двухдиапазонная точка доступа c поддержкой PoE, Wi-Fi 5 (802.11AC Wave2)	248270.0	198617.375	-19.99944616747895	1	0	0	0.0	0.0	0.0	0	17	0	0	http://ipmatika.ru/upload/iblock/e13/mq6z4j7ux55nc7b7qm1v50lrlb65yvt1/AP510-4.jpg	https://ipmatika.kz/products/wifi-smb/wi-tek-wi-ap510/	EOL				248270.0	198617.375	-19.99944616747895	1	0	0	0.0	0.0	0.0	0	17	0	0	http://ipmatika.ru/upload/iblock/e13/mq6z4j7ux55nc7b7qm1v50lrlb65yvt1/AP510-4.jpg	https://ipmatika.kz/products/wifi-smb/wi-tek-wi-ap510/	EOL		
SFP+-10GE-LX-SM1310	TG-NET	МодульTG-NET SFP-10GE-LX-SM1310 (1шт)	25990.0	20790.0	-20.00769526741054	2	0	0	0.0	0.0	0.0	0	0	0	0							25990.0	20790.0	-20.00769526741054	2	0	0	0.0	0.0	0.0	0	0	0	0					
WI-PMS320GF	Wi-Tek	WI-PMS320GF Коммутатор управляемый L2 PoE 350Вт, порты 16 PoE GE + 2SFP	245420.0	196336.525	-19.99978608100399	2	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/managed-l2/wi-tek-wi-pms320gf/	EOL				245420.0	196336.525	-19.99978608100399	2	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/managed-l2/wi-tek-wi-pms320gf/	EOL		
Gigaset PRO						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
Базовые станции/базы GIGASET						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
S30852-H2714-R101	Gigaset	N670IP PRO, базовая станция, синглсота DECT, Мини-мультисота DECT - до 3 БС, до 20 трубок. POE	234230.0	175678.88	-24.997276181530978	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/Gigaset-N670IP-PRO/					234230.0	175678.88	-24.997276181530978	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/Gigaset-N670IP-PRO/			
S30852-H2315-R101	Gigaset	N720 DM PRO SYS IM, контроллер, микросота DECT, до 30 баз, до 100 трубок, POE	148720.0	111540.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	1	0		https://ipmatika.kz/products/dect-network/Gigaset-N720DM/					148720.0	111540.0	-25.0	0	0	0	0.0	0.0	0.0	0	0	1	0		https://ipmatika.kz/products/dect-network/Gigaset-N720DM/			
S30852-H2314-R101	Gigaset	N720 IP PRO SYS IM, базовая станция, микросота DECT, POE	148720.0	111540.0	-25.0	0	0	0	0.0	0.0	0.0	0	13	0	0		https://ipmatika.kz/products/dect-network/Gigaset-N720IP/					148720.0	111540.0	-25.0	0	0	0	0.0	0.0	0.0	0	13	0	0		https://ipmatika.kz/products/dect-network/Gigaset-N720IP/			
S30852-H2716-R101	Gigaset	N870 IP PRO, базовая станция/DM, микросота DECT,1 DM- до 60 баз, до 250 трубок. POE,	644650.0	483495.48000000004	-24.998762118979286	0	0	0	0.0	0.0	0.0	0	0	7	28		https://ipmatika.kz/products/dect-network/Gigaset-N870IP/					644650.0	483495.48000000004	-24.998762118979286	0	0	0	0.0	0.0	0.0	0	0	7	28		https://ipmatika.kz/products/dect-network/Gigaset-N870IP/			
S30852-H2718-R101	Gigaset	N870E IP PRO, базовая станция/DM,съемные вне. антенны, 1 DM - до 60 баз, до 250 трубок. POE	715480.0	536608.7999999999	-25.000167719572886	0	0	0	0.0	0.0	0.0	0	0	0	6		https://ipmatika.kz/products/dect-network/gigaset-n870e-ip-pro/					715480.0	536608.7999999999	-25.000167719572886	0	0	0	0.0	0.0	0.0	0	0	0	6		https://ipmatika.kz/products/dect-network/gigaset-n870e-ip-pro/			
Лицензии GIGASET						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
S30852-H2716-X1	Gigaset	Лицензия Integrator для N870/N670 IP PRO	710950.0	604310.0	-14.999648357831077	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/Gigaset_Integrator_License/					710950.0	604310.0	-14.999648357831077	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/Gigaset_Integrator_License/			
S30852-H2714-X3	Gigaset	Лицензия апгрейда N670 IP PRO до N870 IP PRO	516510.0	439040.0	-14.99874155389054	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/N670_upgrade_license/					516510.0	439040.0	-14.99874155389054	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/N670_upgrade_license/			
S30852-H2714-X2	Gigaset	Лицензия для дект менеджера GIGASET N670 IP PRO	171650.0	145900.0	-15.00145645208272	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/DM_N670_License/					171650.0	145900.0	-15.00145645208272	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/DM_N670_License/			
S30852-H2716-X2	Gigaset	Лицензия для дект менеджера GIGASET N870 IP PRO	498060.0	423360.0	-14.998192988796532	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/N870_License/					498060.0	423360.0	-14.998192988796532	0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/N870_License/			
Прочее GIGASET						0	0	0	0.0	0.0	0.0	0	0	0	0										0	0	0	0.0	0.0	0.0	0	0	0	0					
S30853-H4061-S301	Gigaset	Gigaset Exp module, модуль расширения для телефонов Maxwell 3, Basic	65440.0			0	0	0	0.0	0.0	0.0	0	0	0	0							65440.0			0	0	0	0.0	0.0	0.0	0	0	0	0					
S30853-H4006-R121	Gigaset	Maxwell 10S, видеотелефон, DECT трубка, Android, Bluetooth, WIFI, GigE, c БП	761380.0			0	0	0	0.0	0.0	0.0	0	2	0	0		https://ipmatika.kz/products/videophones/gigaset-maxwell-10s/					761380.0			0	0	0	0.0	0.0	0.0	0	2	0	0		https://ipmatika.kz/products/videophones/gigaset-maxwell-10s/			
S30852-H2316-R101 (test)	Gigaset	N720 SPK PRO, измерительный комплект (чемодан гигасет)	719880.0			0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/N720_SPK_PRO/					719880.0			0	0	0	0.0	0.0	0.0	0	0	0	0		https://ipmatika.kz/products/dect-network/N720_SPK_PRO/			
