http://yealink.review.ipmatika.kz/	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ПРАВСИМВ(Подбор!R1C7;21)	ПРАВСИМВ(Подбор!R1C7;19)	Unnamed: 9
Наименование товара	Артикул	РРЦ			Цена Сайт	.	Я бы купил!		
1. SIP-телефоны									
Yealink SIP-T30 SIP-телефон, 1 линия, С БП замена T19	SIP-T30	27960			26002.800000000003		add		
Yealink SIP-T30P SIP-телефон, 1 линия, Poe c БП замена T19P	SIP-T30P	31370			29174.100000000002		add		
Yealink SIP-T31 SIP-телефон, 2 линии, с БП замена T21	SIP-T31	29810			27723.300000000003		add		
Yealink SIP-T31P SIP-телефон, 2 линии, Poe, с БП замена T21P	SIP-T31P	35000			32550		add		
Yealink SIP-T31P, цвет светло-серый, 2 аккаунта, PoE	SIP-T31P Light Gray	42120			39171.6		add		
Yealink SIP-T31G SIP-телефон, 2 линии, PoE, GigE, с БП  замена T23G	SIP-T31G	40170			37358.1		add		
Yealink SIP-T33G,4 линии,цветной экран, PoE, GigE, с БП замена T40G	SIP-T33G	52530			48852.9		add		
Yealink SIP-T31W, 2 аккаунта, Wi-Fi, PoE	SIP-T31W	45360			42184.8		add		
Yealink SIP-T34W, 4 аккаунта, Wi-Fi, USB, цветной экран, PoE, GigE	SIP-T34W	61880			57548.4		add		
Yealink SIP-T42G,3 аккаунта,BLF,PoE, GigE, без БП	SIP-T42G sale	63420			58980.600000000006		add		
Yealink SIP-T43U (12 аккаунтов, 2 порта USB, BLF,  PoE, GigE) без БП	SIP-T43U	85360			79384.8		add		
Yealink SIP-T44U, 12 аккаунтов, 2 порта USB, цветной экран, BLF, PoE, GigE, без БП	SIP-T44U	93180			86657.40000000001		add		
Yealink SIP-T44W, 12 аккаунтов, 2 порта USB, Wi-Fi, цветной экран, BLF, PoE, GigE, без БП	SIP-T44W	97830			90981.90000000001		add		
Yealink SIP-T46U (цветной экран, 2 порта USB, 16 аккаунтов, BLF,  PoE, GigE) без БП	SIP-T46U	135800			126294		add		
Yealink SIP-T48U (цветной сенсорный экран, 2 порта USB, 16 аккаунтов, BLF,  PoE, GigE) без БП	SIP-T48U	186160			173128.80000000002		add		
Yealink SIP-T53(12 аккаунтов, USB, GigE, Рое) без БП	SIP-T53	118400			110112		add		
Yealink SIP-T53W(12 аккаунтов, Wi-Fi, Bluetooth, Рое) без БП	SIP-T53W	140500			130665		add		
Yealink SIP-T54W (цветной сенсорный экран,16 аккаунтов,BLF,PoE,Wi-Fi,Bluetooth) без БП	SIP-T54W	177850			165400.5		add		
