Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11
											
											
											
											
											
											
Артикул		Патчкорды Cat.5e RJ-45 			Цена сайт						
230305		Патчкорд U/UTP-LSZH-Cat.5e-RJ-45-1м серый	шт		279	300	в наличии				
230306		Патчкорд U/UTP-LSZH-Cat.5e-RJ-45-2м серый	шт		381.3	410	в наличии				
230307		Патчкорд U/UTP-LSZH-Cat.5e-RJ-45-3м серый	шт		502.20000000000005	540	в наличии				
230308		Патчкорд U/UTP-LSZH-Cat.5e-RJ-45-5м серый	шт		734.7	790	в наличии				
230309		Патчкорд F/UTP-LSZH-Cat.5e-RJ-45-1м серый	шт		418.5	450	в наличии				
230310		Патчкорд F/UTP-LSZH-Cat.5e-RJ-45-2м серый	шт		520.8000000000001	560	в наличии				
230311		Патчкорд F/UTP-LSZH-Cat.5e-RJ-45-3м серый	шт		660.3000000000001	710	в наличии				
230312		Патчкорд F/UTP-LSZH-Cat.5e-RJ-45-5м серый	шт		939.3000000000001	1010	в наличии				
											
Артикул		Патчкорды NEOLAN Cat.5e RJ-45 				Цена сайт					
230313		Патчкорд Neolan U/UTP-LSZH-Cat.5e-RJ-45-1м серый	шт		418.5	450	в наличии				
230314		Патчкорд Neolan U/UTP-LSZH-Cat.5e-RJ-45-2м серый	шт		669.6	720	в наличии				
230315		Патчкорд Neolan U/UTP-LSZH-Cat.5e-RJ-45-3м серый	шт		930	1000	в наличии				
230316		Патчкорд Neolan U/UTP-LSZH-Cat.5e-RJ-45-5м серый	шт		1441.5	1550	в наличии				
230317		Патчкорд Neolan F/UTP-LSZH-Cat.5e-RJ-45-1м серый	шт		520.8000000000001	560	в наличии				
230318		Патчкорд Neolan F/UTP-LSZH-Cat.5e-RJ-45-2м серый	шт		809.1	870	в наличии				
230319		Патчкорд Neolan F/UTP-LSZH-Cat.5e-RJ-45-3м серый	шт		1134.6000000000001	1220	в наличии				
230320		Патчкорд Neolan F/UTP-LSZH-Cat.5e-RJ-45-5м серый	шт		1748.4	1880	в наличии				
											
Артикул		Патчкорды NEOLAN Cat.6 RJ-45 				Цена сайт					
230321		Патчкорд Neolan U/UTP-LSZH-Cat.6-RJ-45-1м синий	шт		604.5	650	в наличии				
230322		Патчкорд Neolan U/UTP-LSZH-Cat.6-RJ-45-2м синий	шт		939.3000000000001	1010	в наличии				
230323		Патчкорд Neolan U/UTP-LSZH-Cat.6-RJ-45-3м синий	шт		1264.8	1360	в наличии				
230324		Патчкорд Neolan U/UTP-LSZH-Cat.6-RJ-45-5м синий	шт		1832.1000000000001	1970	в наличии				
230325		Патчкорд Neolan F/UTP-LSZH-Cat.6-RJ-45-1м синий	шт		781.2	840	в наличии				
230326		Патчкорд Neolan F/UTP-LSZH-Cat.6-RJ-45-2м синий	шт		1181.1000000000001	1270	в наличии				
230327		Патчкорд Neolan F/UTP-LSZH-Cat.6-RJ-45-3м синий	шт		1581	1700	в наличии				
230328		Патчкорд Neolan F/UTP-LSZH-Cat.6-RJ-45-5м синий	шт		2204.1	2370	в наличии				
											
Артикул		Патчкорды NEOLAN Cat.6a RJ-45 				Цена сайт					
230400		Патчкорд Neolan UTP-LSZH-Cat.6a-RJ-45-1м violet	шт		632.4	680	в наличии				
230500		Патчкорд Neolan UTP-LSZH-Cat.6a-RJ-45-2м violet	шт		939.3000000000001	1010	в наличии				
230600		Патчкорд Neolan FTP-LSZH-Cat.6a-RJ-45-1м violet	шт		837	900	в наличии				
230800		Патчкорд Neolan FTP-LSZH-Cat.6a-RJ-45-2м violet	шт		1134.6000000000001	1220	в наличии				
230900		Патчкорд Neolan S/FTP-LSZH-Cat.6a-CU-RJ-45-1м violet	шт		790.5	850	в наличии				
230100		Патчкорд Neolan S/FTP-LSZH-Cat.6a-CU-RJ-45-2м violet	шт		1181.1000000000001	1270	в наличии				
230098		Патчкорд Neolan S/FTP-LSZH-Cat.6a-CU-RJ-45-3м violet	шт		1720.5	1850	в наличии				
230099		Патчкорд Neolan S/FTP-LSZH-Cat.6a-CU-RJ-45-5м violet	шт		2594.7000000000003	2790	в наличии				
											
Патч-Панели											
Артикул		Патч-панели неэкранированные				Цена сайт					
100145		Патч-панель Neolan 1U 24U-Cat5e	шт		10695	11500	в наличии				
100146		Патч-панель Neolan 1U 24U-Cat6	шт		12090	13000	в наличии				
100147		Патч-панель Neolan 1U 24U-Cat6A	шт		18786	20200	в наличии				
100148		Патч-панель Neolan 2U 48U-Cat5e	шт		22599	24300	в наличии				
											
		Патч-панели экранированные									
100149		Патч-панель Neolan 1U 24F-Cat5e	шт		18786	20200	в наличии				
100151		Патч-панель Neolan 1U 24F-Cat6	шт		23808	25600	в наличии				
100153		Патч-панель Neolan 1U 24F-Cat6A	шт		30132	32400	в наличии				
100154		Патч-панель Neolan 1U 24SF-Cat6A	шт		35154	37800	в наличии				
											
		Органайзеры кабельные 19'									
100155		Органайзер Neolan 1U кольцевой (5)	шт		2139	2300	в наличии				
100156		Органайзер Neolan 1U металлический с крышкой	шт		2697	2900	в наличии				
000848		Панель эл. питания 3U 1 секция RAL 9005	шт		8184	8800	в наличии				
											
											
											
											
											
											
											
