Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	АРМАТУРА ДЛЯ ПОДВЕСА КАБЕЛЯ	Unnamed: 8
								
								
								
								
								
								
								
								
Артикул		Арматура для подвеса кабеля			Цена сайт	Цена сайт		
320179		Лента бандажная С201,50 метров	шт		9393	10100	в наличии	
320182		Скрепа для ленты 20 мм	шт		55.800000000000004	60	в наличии	
479856		Инструмент для натяжки и резки стальной ленты (храповый)	шт		24021.9	25830	в наличии	
311255		Инструмент для натяжки и резки стальной ленты	шт		14907.900000000001	16030	в наличии	
								
								
Артикул		Узлы крепления				Цена сайт		
371003		Узел крепления поддерживающий УК-ОК-01	шт		279	300	в наличии	
10002		Узел крепления натяжной УК-Н-Ф2	шт		204.60000000000002	220	в наличии	
230752		Узел крепления поддерживающий УКП-02Б (УКП-02)	шт		1162.5	1250	в наличии	
230751		Узел крепления натяжной УКН-01Б (УК-Н-01)	шт		1041.6000000000001	1120	в наличии	
								
								
Артикул		Зажимы для абонентского кабеля FTTH				Цена сайт		
320180		Консоль для FTTH кабеля и Drop-патчкордов	шт		167.4	180	в наличии	
232400		Зажим анкерный ODWAC-22 для FTTH	шт		158.1	170	в наличии	
311008		Зажим анкерный ODWAC-22	шт		158.1	170	в наличии	
230121		Зажим анкерный ODWAC-22 для круглого ОК	шт		176.70000000000002	190	в наличии	
		Зажим анкерный ODWAC-22 H-15	шт		186	200		
478095		Зажим для FTTH кабеля и Drop-патчкордов	шт		362.70000000000005	390	в наличии	
								
Артикул		Зажимы для кабеля плоского кабеля (КС-ОКГО)				Цена сайт		
311008		Зажим анкерный ODWAC-22	шт		158.1	170	в наличии	
								
Артикул		Зажимы для крепления кабеля с тросом (тип 8)				Цена сайт		
499224		Зажим анкерный РА-05	шт		837	900	в наличии	
499129		Зажим анкерный РА-08	шт		1143.9	1230	в наличии	
695609		Зажим анкерный РА-69	шт		911.4000000000001	980	в наличии	
790347		Зажим поддерживающий ЗП-8-2	шт		297.6	320	в наличии	
								
Артикул		Зажимы для крепления самонесущего кабеля (ADSS)				Цена сайт		
230121		Зажим анкерный ODWAC-22 для круглого ОК	шт		176.70000000000002	190	в наличии	
798065		Зажим анкерный РА-1500 (8-12 мм)	шт		1627.5	1750	в наличии	
879994		Зажим анкерный РА-500 (4-9 мм)	шт		911.4000000000001	980	в наличии	
230120		Зажим натяжной универсальный 5-22мм (2х4-2х25)	шт		678.9000000000001	730		
599738		Зажим поддерживающий НС-8-12	шт		725.4000000000001	780	в наличии	
599739		Зажим поддерживающий HC 5-8	шт		725.4000000000001	780		
127823		Зажим спиральный натяжной НСО-4(6)-8,5/9,4	шт		1116	1200	в наличии	
100937		Зажим спиральный поддерживающий ПСО-8,5/9,5 с коушем	шт		818.4000000000001	880	в наличии	
230750		Зажим спиральный поддерживающий ПСО-50-8,5/9,4 (два прутка)	шт		762.6	820	в наличии	
100938		Зажим спиральный натяжной НСО-5,6/6,5 (3) без коуша	шт		734.7	790	в наличии	
100939		Зажим спиральный поддерживающий ПСО-5,6/6,5 (3) без коуша	шт		511.5	550	в наличии	
								
								
								
								
								
								
								
								
