Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ МУФТЫ	Unnamed: 8
								
								
								
								
								
								
								
Артикул		Оптические адаптеры				Цена сайт		
								
549870		Адаптер оптический SC/APC SIMPLEX	шт		83.7	90	в наличии	
874905		Адаптер оптический SC/UPC SIMPLEX	шт		83.7	90	в наличии	
870952		Адаптер оптический LC/UPC DUPLEX	шт		232.5	250	в наличии	
849032		Адаптер оптический SC/APC DUPLEX	шт		316.2	340	в наличии	
849741		Адаптер оптический SC/UPC DUPLEX	шт		316.2	340	в наличии	
								
479587		Кассета ST-N804	шт		511.5	550	в наличии	
230122		Кассета ST-N804-А	шт		511.5	550	в наличии	
								
Артикул		Быстрые коннектора				Цена сайт		
495416		Коннектор FAST SC/UPC	шт		316.2	340	в наличии	
499296		Коннектор FAST SC/APC	шт		316.2	340	в наличии	
								
Артикул		Оптические сплиттеры				Цена сайт		
798499		Сплиттер оптический 1х2 in900/out900-SC/APC-1м	шт		2213.4	2380	в наличии	
779845		Сплиттер оптический 1х4 in900/out900-SC/APC-1м	шт		2520.3	2710	в наличии	
789544		Сплиттер оптический 1х8 in900/out900-SC/APC-1м	шт		3106.2000000000003	3340	в наличии	
794680		Сплиттер оптический 1х16 in900/out900-SC/APC-1м	шт		5059.2	5440	в наличии	
874988		Сплиттер оптический 1х32 in900/out900-SC/APC-1м	шт		11513.400000000001	12380	в наличии	
								
230352		Сплиттер оптический в корпусе 1х4 SC/APC	шт		2659.8	2860	в наличии	
230353		Сплиттер оптический в корпусе 1х8 SC/APC	шт		3162.0	3400	в наличии	
230354		Сплиттер оптический в корпусе 1х16 SC/APC	шт		5059.2	5440	в наличии	
								
231370		Сплиттер оптический неоконцованный 1х2 in900/out900-1м	шт		1460.1000000000001	1570	в наличии	
231371		Сплиттер оптический неоконцованный 1х4 in900/out900-1м	шт		1776.3000000000002	1910	в наличии	
231373		Сплиттер оптический неоконцованный 1х8 in900/out900-1м	шт		2408.7000000000003	2590	в наличии	
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
		ц						
