Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЙ КАБЕЛЬ	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
												
												
												
												
												
												
												
Артикул		Кабель оптический абонентский FTTH 			Цена сайт	Цена сайт						
												
596907		Кабель оптический Flex FTTx 1 волокна, черный (0,250 кН, G.657.A2)	км		26412	28400	3 км					
499018		Кабель FTTH-1-G.657.A1-FRP-0,08kN черный	км		26412	28400	в наличии					
499017		Кабель FTTH-2-G.657.A1-FRP-0,08kN черный	км		38037	40900	в наличии					
499016		Кабель FTTH-1-G.657.A1-FRP-0,08kN белый	км		34968	37600	в наличии					
125749		Кабель FTTH-1-G.657.A2-FRP-0,08kN белый	км		36363	39100	в наличии					
499015		Кабель FTTH-SC-1-G.657.A1-FRP-0,9kN черный	км		41292	44400	в наличии					
499024		Кабель FTTH-SC-2-G.657.A1-FRP-0,9kN черный	км		57846	62200	в наличии					
499024		Кабель FTTH-SC-2-G.657.A1-FRP-0,9kN черный (бухта 2 км)	км		54498	58600	в наличии					
499025		Кабель FTTH-SC-4-G.657.A1-FRP-0,9kN черный	км		75330	81000	в наличии					
499026		Кабель FTTH-SR-2-G.657.A1-FRP-1,2kN черный	км		49569	53300	в наличии					
499788		Кабель КС-FTTHD-1-G.652.D-UCF-0,4-4047 	км		49569	53300	в наличии					
657412		Кабель FTTHD-1-G.657.A1-FRP-0,33kN черный (1 км)	км		46221	49700	в наличии					
654781		Кабель FTTHD-1-G.657.A1-FRP-0,7kN черный (1 км)	км		57846	62200	в наличии					
230770		Кабель Drop-R-1-G.657.A1- FRP-1,0kN	км		66030	71000	в наличии					
*кабель отгружается кратно катушкам												
												
		Зажимы для кабеля абонентского FTTH										
320180		Консоль для FTTH кабеля и Drop-патчкордов	шт		167.4	180	в наличии					
232400		Зажим анкерный ODWAC-22 для FTTH	шт		158.1	170						
311008		Зажим анкерный ODWAC-22	шт		158.1	170	в наличии					
230121		Зажим анкерный ODWAC-22 для круглого ОК	шт		176.70000000000002	190	в наличии					
478095		Зажим для FTTH кабеля и Drop-патчкордов	шт		362.70000000000005	390	в наличии					
		! Весь список по подвесной арматуре вы можете найти во вкладке АРМАТУРА ДЛЯ ПОДВЕСА ОК										
												
Артикул		Кабели внутриьбъектовые, негорючие				Цена сайт						
												
499662		Кабель КС-ОКГнг-П-4-G.652.D-LSZH-10133	км		271095	291500	в наличии					
499663		Кабель КС-ОКГнг-П-8-G.652.D-LSZH-10133	км		320199	344300	в наличии					
499664		Кабель КС-ОКГнг-П-12-G.652.D-LSZH-10133	км		376836	405200	в наличии					
691330		Кабель КС-ОКГнг-П-16-G.652.D-LSZH-10133	км		398691	428700	в наличии					
499021		Кабель КС-ОКГнг-П-24-G.652.D-LSZH-10133	км		456072	490400	в наличии					
												
Артикул		Кабель плоский самонесущий КС-ОКГО 				Цена сайт						
												
930887		Кабель КС-ОКГО-П-2-G.652.D-1221	км		123876	133200	в наличии					
499262		Кабель КС-ОКГО-П-2-G.652.D-1224	км		158472	170400	в наличии					
