Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ МУФТЫ	Unnamed: 8
								
								
								
								
								
								
								
Артикул		Муфты оптические проходные			Цена сайт			
								
489031		Муфта оптическая проходная GJS-801-96F	шт		14108.1	15170	в наличии	
789412		Муфта оптическая проходная GJS-801-144F	шт		21278.4	22880	в наличии	
								
630223		Муфта оптическая ОК-FOSC-102-48F	шт		12127.2	13040	в наличии	
								
231301		Муфта оптическая проходная GJS-10-48F			20171.7	21690	в наличии	
230450		Муфта оптическая проходная GJS-10-96F	шт		21724.800000000003	23360	в наличии	
								
230124		Муфта оптическая проходная STC-48F			20692.5	22250		
230125		Муфта оптическая проходная STC-96F			22468.800000000003	24160		
								
890844		Муфта оптическая FOSC-mini-24F	шт		6361.200000000001	6840	в наличии	
230123		Муфта оптическая MINI-12F	шт		3264.3	3510	в наличии	
								
								
Артикул		Муфты оптические купольные				Цена сайт		
								
584900		Муфта оптическая FOSC-A4-mini-48F	шт		10350.9	11130	в наличии	
232404		Муфта оптическая Neolan FOSC-A4-mini-64F	шт		9932.4	10680	в наличии	
232405		Муфта оптическая сплиттерная Neolan FOSC-A4-mini-32F	шт		10862.400000000001	11680	в наличии	
								
640366		Муфта оптическая FOSC-A4-24F	шт		24831	26700	в наличии	
489700		Муфта оптическая FOSC-A4-48F	шт		25761	27700	в наличии	
489644		Муфта оптическая FOSC-A4-96F	шт		26691	28700	в наличии	
								
487944		Муфта оптическая FOSC-A8-24F	шт		25454.100000000002	27370	в наличии	
148549		Муфта оптическая FOSC-A8-48F	шт		26384.100000000002	28370	в наличии	
281030		Муфта оптическая FOSC-A8-96F	шт		27314.100000000002	29370	в наличии	
								
598495		Муфта оптическая сплиттерная FOSC-A4-32F	шт		35693.4	38380	в наличии	
201003		Муфта оптическая сплиттерная FOSC-A8-48F	шт		32512.800000000003	34960	в наличии	
201000		Муфта оптическая сплиттерная FOSC-A8-48F V2	шт		32512.800000000003	34960	в наличии	новая планка
								
.040050		Планка для FOSC A4/8 под адаптеры SC/APC-SIMPLEX-56	шт		8537.4	9180	в наличии	
								
859474		Муфта оптическая FOSC-A16-144F	шт		68271.3	73410	в наличии	
859741		Муфта оптическая FOSC-A16-288F	шт		77580.6	83420	в наличии	
								
200617		Планка для FOSC A16 под адаптеры SC/APC-DUPLEX-54 (пустая планка)	шт		7588.8	8160	в наличии	
								
								
		Кросс-муфты						
								
232401		Кросс-муфта Neolan FTTH-8 универс	шт		12560.58	13506	в наличии	
232402		Кросс-муфта Neolan FTTH-16 универс.	шт		13742.61	14777	в наличии	
232403		Кронштейн для кросс-муфты FTTH	шт		5275.89	5673	в наличии	
								
								
773099		УПМК-550 (Устройство подвеса муфт и запаса ОК)	шт		4654.650000000001	5005	в наличии	
190193		УПМК-800 (Устройство подвеса муфт и запаса ОК)	шт		5911.08	6356	в наличии	
230453		Провод заземления крокодил+наконечник	шт		558.9300000000001	601	в наличии	
230452		Комплект трубок d6мм длина 40 см, 8 шт в упаковке	шт		357.12	384	в наличии	
230454		Силикагель	шт		199.02	214	в наличии	
230102		Кассета 24 FOSC A8/4			775.62	834	в наличии	
								
								
								
								
								
								
								
								
