Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ ШНУРЫ	Unnamed: 8	Unnamed: 9
									
									
									
									
									
									
									
Артикул		Оптические пигтейлы			Цена сайт				
									
619520		Пигтейл SC(UPC) 652D 0,9мм LSZH - 1,5м	шт		316.2	340	в наличии		
849754		Пигтейл LC/UPC 652D 0,9мм LSZH - 1,5м	шт		316.2	340	в наличии		
230356		Пигтейл SC/APC 657.A1 0,9мм LSZH-1,5м	шт		316.2	340	в наличии		
230357		Пигтейл SC/UPC 657.A1 0,9мм LSZH-1,5м	шт		316.2	340	в наличии		
230358		Пигтейл LC/UPC 657.A1 0,9мм LSZH-1,5м	шт		316.2	340	в наличии		
									
487954		Шнур оптический SC/APC-SC/APC 652D 0,9мм LSZH - 3м	шт		576.6	620	в наличии		
487956		Шнур оптический SC/UPC-SC/UPC 652D 0,9мм LSZH - 3м	шт		576.6	620	в наличии		
									
Артикул		Оптические патчкорды станционные (желтые)				Цена сайт			
230359		Патчкорд SC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-0,5м	шт		651	700	в наличии		
230360		Патчкорд SC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-1м	шт		753.3000000000001	810	в наличии		
230361		Патчкорд SC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-2м	шт		790.5	850	в наличии		
230362		Патчкорд SC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-3м	шт		827.7	890	в наличии		
230363		Патчкорд SC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-5м	шт		864.9000000000001	930	в наличии		
230364		Патчкорд LC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-0,5м	шт		678.9000000000001	730	в наличии		
230365		Патчкорд LC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-1м	шт		753.3000000000001	810	в наличии		
230103		Патчкорд LC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-2м	шт		790.5	850	в наличии		
230367		Патчкорд LC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-3м	шт		827.7	890	в наличии		
230368		Патчкорд LC/UPC-SC/UPC-SM-Simplex-G.657.A1 LSZH 2.0mm-5м	шт		911.4000000000001	980	в наличии		
230369		Патчкорд SC/UPC-SC/APC-SM-Simplex-G.657.A1 LSZH 2.0mm-1м	шт		753.3000000000001	810	в наличии		1.0
230797		Патчкорд SC/UPC-SC/APC-SM-Simplex-G.657.A1 LSZH 2.0mm-2м	шт		790.5	850	в наличии		
230796		Патчкорд SC/UPC-SC/APC-SM-Simplex-G.657.A1 LSZH 2.0mm-3м	шт		827.7	890	в наличии		
230370		Патчкорд SC/APC-SC/APC-SM-Simplex-G.657.A1 LSZH 2.0mm-1м	шт		753.3000000000001	810	в наличии		
230795		Патчкорд SC/APC-SC/APC-SM-Simplex-G.657.A1 LSZH 2.0mm-2м	шт		790.5	850	в наличии		
