Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ МУФТЫ	Unnamed: 8
								
								
								
								
								
								
								
Артикул		Шкафы климатические			Цена сайт	Цена сайт		
								
		Шкаф климатический Neolan 6Uх600х450 IP55	шт		198927	213900		
		Шкаф климатический Neolan 6Uх600х600 IP55	шт		224037	240900		
		Шкаф климатический Neolan 9Uх600х450 IP55	шт		219294	235800		
		Шкаф климатический Neolan 9Uх600х600 IP55	шт		249147	267900		
		Шкаф климатический Neolan 12Uх600х450 IP55	шт		241800	260000		
		Шкаф климатический Neolan 12Uх600х600 IP55	шт		277791	298700		
		Шкаф климатический Neolan 15Uх600х450 IP55	шт		264678	284600		
		Шкаф климатический Neolan 15Uх600х600 IP55	шт		299739	322300		
								
								
								
								
								
								
								
								
								
								
