Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ КРОССЫ	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
												
												
												
												
												
												
												
КРОССЫ ОПТИЧЕСКИЕ FDF 19' (в стойку)												
												
Артикул		Кросс оптический 19' SC/UPC			Цена сайт	Цена сайт						
												
603143		Кросс оптический FDF-1U-24 port-SC (серый) без комплектации	шт		12787.5	13750	в наличии					
603146		Кросс оптический FDF-1U-24 port-FC (серый) без комплектации	шт		12787.5	13750	в наличии					
603147		Кросс оптический FDF-2U-48 port-SC (серый) без комплектации	шт		18739.5	20150	в наличии					
121224		Кросс оптический FDF-4U-144 port-SC (серый) без комплектации	шт		45756	49200	в наличии					
												
603148		Кросс оптический 1U-FDF-SC/UPC-4-4-4	шт		14284.800000000001	15360	в наличии					
603149		Кросс оптический 1U-FDF-SC/UPC-8-8-8	шт		16070.400000000001	17280	в наличии					
499941		Кросс оптический 1U-FDF-SC/UPC-12-12-12	шт		17325.9	18630	в наличии					
603150		Кросс оптический 1U-FDF-SC/UPC-16-16-16	шт		19911.3	21410	в наличии					
499939		Кросс оптический 1U-FDF-SC/UPC-24-24-24	шт		22608.300000000003	24310	в наличии					
603151		Кросс оптический 2U-FDF-SC/UPC-32-32-32	шт		33554.4	36080	в наличии					
603152		Кросс оптический 2U-FDF-SC/UPC-36-36-36	шт		34949.4	37580	в наличии					
603153		Кросс оптический 2U-FDF-SC/UPC-48-48-48	шт		39125.1	42070	в наличии					
												
603154		Кросс оптический 1U-FDF-SC/APC-4-4-4	шт		14312.7	15390	в наличии					
603155		Кросс оптический 1U-FDF-SC/APC-8-8-8	шт		16126.2	17340	в наличии					
603156		Кросс оптический 1U-FDF-SC/APC-12-12-12	шт		17409.600000000002	18720	в наличии					
603157		Кросс оптический 1U-FDF-SC/APC-16-16-16	шт		20032.2	21540	в наличии					
603158		Кросс оптический 1U-FDF-SC/APC-24-24-24	шт		22785	24500	в наличии					
603159		Кросс оптический 2U-FDF-SC/APC-32-32-32	шт		33796.200000000004	36340	в наличии					
603160		Кросс оптический 2U-FDF-SC/APC-36-36-36	шт		35219.1	37870	в наличии					
603161		Кросс оптический 2U-FDF-SC/APC-48-48-48	шт		39487.8	42460	в наличии					
												
603163		Кросс оптический 1U-FDF-LC/UPC-4-4-4	шт		14368.5	15450	в наличии					
603162		Кросс оптический 1U-FDF-LC/UPC-8-8-8	шт		16247.1	17470	в наличии					
603164		Кросс оптический 1U-FDF-LC/UPC-12-12-12	шт		17595.600000000002	18920	в наличии					
603165		Кросс оптический 1U-FDF-LC/UPC-16-16-16	шт		20292.600000000002	21820	в наличии					
603166		Кросс оптический 1U-FDF-LC/UPC-24-24-24	шт		23184.9	24930	в наличии					
603167		Кросс оптический 1U-FDF-LC/UPC-32-32-32	шт		26932.800000000003	28960	в наличии					
603168		Кросс оптический 1U-FDF-LC/UPC-36-36-36	шт		29341.5	31550	в наличии					
603169		Кросс оптический 1U-FDF-LC/UPC-48-48-48	шт		33963.6	36520	в наличии					
