Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Головной офис: 100012, г.Караганда, ул. Привокзальная, д. 10 Тел.: +7 7212 41 40 94, +7 7058293400	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
				"Филиал в г.Алматы: A26E5K1, ул. Татибекова, д. 10
Тел.: +7 727 296 95 69, +7 702 661 35 41"											
	Прайс-лист			allproftelecom.kz											
															
															
	Цены указаны с НДС, без учета доставки														
Код/ Артикул	Номенклатура	Остаток	Ед. изм.	Цена СПЕЦИАЛЬНАЯ 	Цена среднеоптовая 	Цена розничная 	Цена сайт								
				-0.07	-0.1	-0.1									
															
															
	Кросс оптический 19' укомплектованный														
															
499402	Кросс оптический 1U-LC/UPC-4-4-4	в наличии	шт	12000	12900	14200	15700								
499401	Кросс оптический 1U-LC/UPC-8-8-8	в наличии	шт	14300	15400	17000	18700								
599104	Кросс оптический 1U-LC/UPC-12-12-12	в наличии	шт	16500	17700	19500	21500								
596785	Кросс оптический 1U-LC/UPC-16-16-16	в наличии	шт	18000	19300	21300	23500								
599105	Кросс оптический 1U-LC/UPC-24-24-24	в наличии	шт	22000	23600	26000	28600								
596876	Кросс оптический 1U-LC/UPC-48-48-48	в наличии	шт	44000	47100	51900	57100								
															
499291	Кросс оптический 1U-SC/UPC-4-4-4	в наличии	шт	12000	12900	14200	15700								
499312	Кросс оптический 1U-SC/UPC-8-8-8	в наличии	шт	14300	15400	17000	18700								
499309	Кросс оптический 1U-SC/UPC-12-12-12	в наличии	шт	16500	17700	19500	21500								
499310	Кросс оптический 1U-SC/UPC-16-16-16	в наличии	шт	18000	19300	21300	23500								
499311	Кросс оптический 1U-SC/UPC-24-24-24	в наличии	шт	22000	23600	26000	28600								
599304	Кросс оптический 2U-SC/UPC-48-48-48	в наличии	шт	44000	47100	51900	57100								
															
	Кросс оптический 1U-SC/APC-4-4-4	в наличии	шт	12000	12900	14200	15700								
499308	Кросс оптический 1U-SC/APC-8-8-8	в наличии	шт	14300	15400	17000	18700								
499305	Кросс оптический 1U-SC/APC-12-12-12	в наличии	шт	16500	17700	19500	21500								
499306	Кросс оптический 1U-SC/APC-16-16-16	в наличии	шт	18000	19300	21300	23500								
499307	Кросс оптический 1U-SC/APC-24-24-24	в наличии	шт	22000	23600	26000	28600								
															
	Кросс оптический 1U-FC/UPC-4-4-4	в наличии	шт	12000	12900	14200	15700								
499304	Кросс оптический 1U-FC/UPC-8-8-8	в наличии	шт	14300	15400	17000	18700								
499300	Кросс оптический 1U-FC/UPC-12-12-12	в наличии	шт	16500	17700	19500	21500								
499301	Кросс оптический 1U-FC/UPC-16-16-16	в наличии	шт	18000	19300	21300	23500								
499303	Кросс оптический 1U-FC/UPC-24-24-24	в наличии	шт	22000	23600	26000	28600								
															
															
	Кросс оптический 19' FDF укомплектованный 														
															
499941	Кросс оптический 1U-FDF-SC/UPC-12-12-12	в наличии	шт	16000	17200	19000	20900								
