Наименование товаров	Розница			
Краткое описание характеристик	KZT			
01. Радиостанции гражданского диапазона 27МГц(СВ)				
1.1 Автомобильные и базовые радиостанции диапазона 27МГц				
Монтажный набор для крепления СВ рации в 1DIN слот  (для AnyTone AT-505Pro, President Barry, Barry II, Teddy, Teddy II))	9 211			
Монтажный набор для крепления СВ рации в 1DIN слот  (для Luiton LT-298, LT-308)	8 627			
Монтажный набор для крепления СВ рации в 1DIN слот (для Yosan CB-50, 2204Turbo, AnyTone AT-310)	8 627			
Монтажный набор для крепления СВ рации в 1DIN слот (для President Barry ASC)	8 627			
AnyTone AT-505 PRO, р/ст авто, 27МГц, 40 каналов, АМ/ЧМ, 4Вт, EU+RU, VOX, Roger Beep, гарантия 6 мес	29 027			
LUITON LT-398 р/ст авто, 27МГц, 240 каналов AM/FM, 10 Вт, EU+RU, 12/24V гарантия 6 месяцев	37 496			
AnyTone AT-310M PLUS р/ст авто, 27МГц, 240 каналов, АМ.ЧМ, 8 Вт, EU+RU, 12/24V, CTCSS/DCS, VOX гарантия 1 год	42 412			
YOSAN CB-300 р/ст авто, 27МГц 480 каналов АМ/ЧМ 8Вт EU+RU миниатюрная гарантия 14 дней	45 911			
YOSAN CB-350 сверхминиатюрная р/ст авто, 27МГц 480 каналов АМ/ЧМ 5Вт EU+RU гарантия 14 дней	26 814			
AnyTone AT-608M р/ст авто, 27МГц 240+240 каналов, 8Вт, АМ/ЧМ, CTCSS/DCS, EU+RU гарантия 1 год	55 334			
President Teddy II р/ст авто, 27МГц, 4Вт, АМ/ЧМ, EU+RU гарантия 1 год	58 735			
AnyTone Apollo I р/ст авто, 27МГц АМ/ЧМ управление с микрофона  гарантия 1 год	65 743			
LAFAYETTE TRUCKER PRO р/ст авто, 27МГц 1350 каналов АМ/ЧМ 8 Вт EU+ RU 1 DIN CTCSS 38 кодов  гарантия 1 год	54 456			
AnyTone Apollo II р/ст авто, 27МГц АМ/ЧМ  EU+RU CTCSS/DCS 8 Вт гарантия 1 год	66 964			
AnyTone AT-5289 II р/ст авто, 27МГц, 50 Вт, АМ/ЧМ, VOX, CTCSS/DCS, автоинформатор, гарантия 1 год	72 512			
AnyTone AT-6666 р/ст авто, 25.615...30.105 МГц, AM/FM/SSB, 12 Вт AM, 50 Вт FM гарантия 1 год	131 147			
AnyTone AT-5555N р/ст авто, 25.615...30.105 МГц, AM/FM/SSB, 12 Вт AM, 30 Вт FM, CTCSS/DCS  гарантия 1 год	136 250			
1.2 Портативные радиостанции диапазона 27МГц				
President Jerry радиостанция носимая 27МГц 40 каналов ЧМ/АМ 5Вт EU+RU  LiIOn 1800мАч Гарантия 1 год	93 457			
02. Радиостанции УКВ диапазона 				
2.1. Радиостанции портативные аналоговые				
Р/ст StarNet S-100 400-480МГц, 3Вт, Li-Ion 1200 мАч, две кнопки РТТ, зарядное устройство, гарантия 6 мес	11 494			
Р/ст Luiton LT-316, 400-470МГц, 3Вт, Li-Ion 1500мАч, зарядное устройство, гарантия 1 год	9 614			
Р/ст Puxing PX-2R  400-470МГц, 2Вт, Li-Ion, 1100мАч, зарядное устройство, гарнитура, гарантия 1 мес	18 121			
Р/ст StarNet S-200 400-470МГц 5Вт, Li-Ion 2000мАч, зарядное устройство, гарантия 6 месяцев	19 217			
Р/ст Quansheng UV-K5 136-174/400-480МГц, 50-600МГц прием, li-Ion 1600 мАч, зарядное устройство Type-C, гарантия 1 мес	19 255			
Р/ст Quansheng UV-K5(8) 136-174/400-480МГц, 50-600МГц прием, li-Ion 1600 мАч, зарядное устройство, Type-C, улучшенный динамик, гарантия 1 мес	20 563			
Р/ст Luiton LT-316 (комплект 2 штуки), 400-470МГц, 3Вт, Li-Ion 1500мАч, з/у, гарантия 1 год	19 228			
Р/ст AnyTone AT-3208Plus 400-480МГц, 5Вт, Li-Ion 1350мАч, зарядное устройство  Гарантия 2 года!	37 016			
Р/ст AnyTone AT-3208Plus 136-174МГц, 5Вт, Li-Ion 1350мАч, зарядное устройство  Гарантия 2 года!	37 016			
Р/ст Climbmax EM-9735 136-174МГц 5Вт, Li-Ion 1500мАч, зарядное устройство, гарантия 1 год	30 618			
Р/ст Quansheng TK-11(5) 25-29.8 МГц,50-54 МГц, 136-174 МГц, 350-490 МГц, 0.15-1160МГц прием, 10Вт, Li-Ion 2500mAh, з/у, гарантия 6 мес	39 398			
Р/ст Quansheng TK-11(8) 25-29.8 МГц,50-54 МГц, 136-174 МГц, 350-490 МГц, 0.15-1160МГц прием, 10Вт, Li-Ion 3000mAh, з/у, гарантия 6 мес	43 900			
Р/ст Quansheng TG-1680, 400-480МГц, 8Вт, Li-Pol 3500мАч, зарядное устройство. гарантия 1 год	46 227			
Р/ст Quansheng TG-1680, 136-174МГц, 8Вт, Li-Pol 3500мАч, зарядное устройство, гарантия 1 год	46 227			
Р/ст AnyTone AT-288 136-174МГц 4Вт, Li-Ion 1800 мАч, зарядное устройство  Гарантия 2 года!	49 266			
Р/ст Luiton LT-199H, 400-480МГц, 12Вт, Li-Ion 2800мАч, зарядное устройство, гарантия 1 год	40 025			
Р/ст StarNet S-400 400-480МГц 10Вт, Li-Ion 2800мАч, IP66, Зарядное устройство, гарантия 1 год	50 663			
Р/ст StarNet S-400V 136-174МГц 10Вт, Li-Ion 2800мАч, IP66, Зарядное устройство, гарантия 1 год	50 663			
